match_id,date,home_elo,away_elo,home_form,away_form,home_win_rate,away_win_rate,home_rest_days,away_rest_days,result
319,2022-04-17,1522.2,1475.17,8,4,0.5333333333333333,0.26666666666666666,8,7,A
320,2022-04-17,1581.48,1626.66,6,12,0.7333333333333333,0.7333333333333333,9,8,A
321,2022-04-18,1610.63,1448.79,15,7,0.7142857142857143,0.2,8,9,A
322,2022-04-19,1422.04,1415.77,3,3,0.3125,0.0625,3,3,H
323,2022-04-19,1555.54,1460.7,11,6,0.5625,0.1875,4,3,A
324,2022-04-19,1526.23,1495.42,7,6,0.5625,0.3125,3,3,H
325,2022-04-20,1564.52,1426.11,12,4,0.6875,0.125,3,3,D
326,2022-04-20,1488.54,1461.4,4,5,0.3125,0.0,3,4,A
327,2022-04-20,1503.37,1637.51,9,12,0.3125,0.75,4,3,A
328,2022-04-21,1479.42,1441.23,7,3,0.5625,0.06666666666666667,4,5,A
329,2022-04-21,1428.97,1570.63,7,5,0.1875,0.3125,4,4,A
330,2022-04-21,1464.72,1508.82,7,5,0.125,0.1875,3,4,A
331,2022-04-21,1554.37,1594.7,11,12,0.5625,0.4375,6,3,A
332,2022-04-24,1605.7,1454.38,12,5,0.6666666666666666,0.125,3,3,A
333,2022-04-29,1578.73,1453.83,7,7,0.6875,0.25,8,8,D
334,2022-04-30,1408.06,1533.27,3,7,0.3125,0.25,11,11,H
